year,stage,date,team1_code,team2_code,score1,score2,attendance,referee,referee_nation,stadium,source_page
1934,round-of-16,1934-05-27,ESP,BRA,3,1,21000,Alfred Birlem,Germany,"Stadio Luigi Ferraris, Genoa",1934 FIFA World Cup final tournament
1934,round-of-16,1934-05-27,GER,BEL,5,2,8000,Francesco Mattea,Italy,"Stadio Giovanni Berta, Florence",1934 FIFA World Cup final tournament
1934,round-of-16,1934-05-27,HUN,EGY,4,2,9000,Rinaldo Barlassina,Italy,"Stadio Giorgio Ascarelli, Naples",1934 FIFA World Cup final tournament
1934,round-of-16,1934-05-27,ITA,USA,7,1,25000,René Mercet,Switzerland,"Stadio Nazionale PNF, Rome",1934 FIFA World Cup final tournament
1934,round-of-16,1934-05-27,SUI,NED,3,2,33000,Ivan Eklind,Sweden,"Stadio San Siro, Milan",1934 FIFA World Cup final tournament
1934,round-of-16,1934-05-27,SWE,ARG,3,2,14000,Eugen Braun,Austria,"Stadio Littoriale, Bologna",1934 FIFA World Cup final tournament
1934,quarter-final,1934-05-31,AUT,HUN,2,1,23000,Francesco Mattea,Italy,"Stadio Littoriale, Bologna",1934 FIFA World Cup final tournament
1934,quarter-final,1934-05-31,CSK,SUI,3,2,12000,Alois Beranek,Austria,"Stadio Benito Mussolini, Turin",1934 FIFA World Cup final tournament
1934,quarter-final,1934-05-31,GER,SWE,2,1,3000,Rinaldo Barlassina,Italy,"Stadio San Siro, Milan",1934 FIFA World Cup final tournament
1934,quarter-final,1934-05-31,ITA,ESP,1,1,35000,Louis Baert,Belgium,"Stadio Giovanni Berta, Florence",1934 FIFA World Cup final tournament
1934,quarter-final,1934-06-01,ITA,ESP,1,0,43000,René Mercet,Switzerland,"Stadio Giovanni Berta, Florence",1934 FIFA World Cup final tournament
1934,semi-final,1934-06-03,CSK,GER,3,1,15000,Rinaldo Barlassina,Italy,"Stadio Nazionale PNF, Rome",1934 FIFA World Cup final tournament
1934,semi-final,1934-06-03,ITA,AUT,1,0,35000,Ivan Eklind,Sweden,"Stadio San Siro, Milan",1934 FIFA World Cup final tournament
1934,third-place,1934-06-07,GER,AUT,3,2,7000,Albino Carraro,Italy,"Stadio Giorgio Ascarelli, Naples",1934 FIFA World Cup final tournament
1934,final,1934-06-10,ITA,TCH,2,1,55000,Ivan Eklind,Sweden,"Stadio Nazionale PNF, Rome",1934 FIFA World Cup final
1938,round-of-16,1938-06-04,SUI,GER,1,1,27152,John Langenus,Belgium,"Parc des Princes, Paris",1938 FIFA World Cup final tournament
1938,round-of-16,1938-06-05,BRA,POL,6,5,13452,Ivan Eklind,Sweden,"Stade de la Meinau, Strasbourg",Brazil v Poland (1938 FIFA World Cup)
1938,round-of-16,1938-06-05,CSK,NED,3,0,11000,Lucien Leclerq,France,"Stade municipal, Le Havre",1938 FIFA World Cup final tournament
1938,round-of-16,1938-06-05,CUB,ROU,3,3,7000,Giuseppe Scarpi,Italy,"Stade du T.O.E.C., Toulouse",1938 FIFA World Cup final tournament
1938,round-of-16,1938-06-05,FRA,BEL,3,1,30454,Hans Wüthrich,Switzerland,"Stade Olympique de Colombes, Colombes",1938 FIFA World Cup final tournament
1938,round-of-16,1938-06-05,HUN,DEI,6,0,9000,Roger Conrié,France,"Vélodrome Municipal, Reims",1938 FIFA World Cup final tournament
1938,round-of-16,1938-06-05,ITA,NOR,2,1,19000,Alois Beranek,Germany,"Stade Vélodrome, Marseille",1938 FIFA World Cup final tournament
1938,round-of-16,1938-06-09,CUB,ROU,2,1,8000,Alfred Birlem,Germany,"Stade du T.O.E.C., Toulouse",1938 FIFA World Cup final tournament
1938,round-of-16,1938-06-09,SUI,GER,4,2,20025,Ivan Eklind,Sweden,"Parc des Princes, Paris",1938 FIFA World Cup final tournament
1938,quarter-final,1938-06-12,BRA,TCH,1,1,22021,Pál von Hertzka,Hungary,"Parc Lescure, Bordeaux",Battle of Bordeaux (1938 FIFA World Cup)
1938,quarter-final,1938-06-12,HUN,SUI,2,0,15000,Rinaldo Barlassina,Italy,"Stade Victor Boucquey, Lille",1938 FIFA World Cup final tournament
1938,quarter-final,1938-06-12,ITA,FRA,3,1,58455,Louis Baert,Belgium,"Stade Olympique de Colombes, Colombes",1938 FIFA World Cup final tournament
1938,quarter-final,1938-06-12,SWE,CUB,8,0,7000,Augustin Krist,Czechoslovakia,"Stade du Fort Carré, Antibes",1938 FIFA World Cup final tournament
1938,quarter-final,1938-06-14,BRA,CSK,2,1,18141,Georges Capdeville,France,"Parc Lescure, Bordeaux",1938 FIFA World Cup final tournament
1938,semi-final,1938-06-16,HUN,SWE,5,1,20000,Lucien Leclerq,France,"Parc des Princes, Paris",1938 FIFA World Cup final tournament
1938,semi-final,1938-06-16,ITA,BRA,2,1,33000,Hans Wüthrich,Switzerland,"Stade Vélodrome, Marseille",1938 FIFA World Cup final tournament
1938,third-place,1938-06-19,BRA,SWE,4,2,12000,John Langenus,Belgium,"Parc Lescure, Bordeaux",1938 FIFA World Cup final tournament
1938,final,1938-06-19,ITA,HUN,4,2,45000,Georges Capdeville,France,"Stade Olympique de Colombes, Paris",1938 FIFA World Cup final
1950,group,1950-06-24,BRA,MEX,4,0,81649,George Reader,England,"Estádio do Maracanã, Rio de Janeiro",1950 FIFA World Cup Group 1
1950,group,1950-06-25,ENG,CHI,2,0,29703,Karel van der Meer,Netherlands,"Estádio do Maracanã, Rio de Janeiro",1950 FIFA World Cup Group 2
1950,group,1950-06-25,ESP,USA,3,1,9511,Mário Vianna,Brazil,"Estádio Durival de Britto, Curitiba",1950 FIFA World Cup Group 2
1950,group,1950-06-25,SWE,ITA,3,2,36502,Jean Lutz,Switzerland,"Estádio do Pacaembu, São Paulo",1950 FIFA World Cup Group 3
1950,group,1950-06-25,YUG,SUI,3,0,7336,Giovanni Galeati,Italy,"Estádio Independência, Belo Horizonte",1950 FIFA World Cup Group 1
1950,group,1950-06-28,BRA,SUI,2,2,42032,Ramón Azón Romá,Spain,"Estádio do Pacaembu, São Paulo",1950 FIFA World Cup Group 1
1950,group,1950-06-28,YUG,MEX,4,1,11078,Reginald Leafe,England,"Estádio dos Eucaliptos, Porto Alegre",1950 FIFA World Cup Group 1
1950,group,1950-06-29,ESP,CHI,2,0,19790,Alberto Malcher,Brazil,"Estádio do Maracanã, Rio de Janeiro",1950 FIFA World Cup Group 2
1950,group,1950-06-29,SWE,PAR,2,2,7903,George Mitchell,Scotland,"Estádio Durival Britto, Curitiba",1950 FIFA World Cup Group 3
1950,group,1950-06-29,USA,ENG,1,0,10151,Generoso Dattilo,Italy,"Estádio Independência, Belo Horizonte",United States v England (1950 FIFA World Cup)
1950,group,1950-07-01,BRA,YUG,2,0,142429,Benjamin Griffiths,Wales,"Estádio do Maracanã, Rio de Janeiro",1950 FIFA World Cup Group 1
1950,group,1950-07-02,CHI,USA,5,2,8501,Mário Gardelli,Brazil,"Estádio Ilha do Retiro, Recife",1950 FIFA World Cup Group 2
1950,group,1950-07-02,ESP,ENG,1,0,74462,Giovanni Galeati,Italy,"Estádio do Maracanã, Rio de Janeiro",1950 FIFA World Cup Group 2
1950,group,1950-07-02,ITA,PAR,2,0,25811,Arthur Ellis,England,"Estádio do Pacaembu, São Paulo",1950 FIFA World Cup Group 3
1950,group,1950-07-02,SUI,MEX,2,1,3580,Ivan Eklind,Sweden,"Estádio dos Eucaliptos, Porto Alegre",1950 FIFA World Cup Group 1
1950,group,1950-07-02,URU,BOL,8,0,5284,George Reader,England,"Estádio Independência, Belo Horizonte",1950 FIFA World Cup Group 4
1950,final-round,1950-07-09,BRA,SWE,7,1,138886,Arthur Ellis,England,"Estádio do Maracanã, Rio de Janeiro",1950 FIFA World Cup final round
1950,final-round,1950-07-09,URU,ESP,2,2,44802,Benjamin Griffiths,Wales,"Estádio do Pacaembu, São Paulo",1950 FIFA World Cup final round
1950,final-round,1950-07-13,BRA,ESP,6,1,152772,Reginald Leafe,England,"Estádio do Maracanã, Rio de Janeiro",1950 FIFA World Cup final round
1950,final-round,1950-07-13,URU,SWE,3,2,7987,Giovanni Galeati,Italy,"Estádio do Pacaembu, São Paulo",1950 FIFA World Cup final round
1950,final-round,1950-07-16,SWE,ESP,3,1,11227,Karel van der Meer,Netherlands,"Estádio do Pacaembu, São Paulo",1950 FIFA World Cup final round
1950,final-round,1950-07-16,URU,BRA,2,1,173850,George Reader,England,"Estádio do Maracanã, Rio de Janeiro",Uruguay v Brazil (1950 FIFA World Cup)
1954,group,1954-06-16,AUT,SCO,1,0,25000,Laurent Franken,Belgium,"Hardturm Stadium, Zürich",1954 FIFA World Cup Group 3
1954,group,1954-06-16,BRA,MEX,5,0,13470,Raymon Wyssling,Switzerland,"Charmilles Stadium, Geneva",1954 FIFA World Cup Group 1
1954,group,1954-06-16,URU,TCH,2,0,20500,Arthur Ellis,England,"Wankdorf Stadium, Bern",1954 FIFA World Cup Group 3
1954,group,1954-06-16,YUG,FRA,1,0,16000,Benjamin Griffiths,Wales,"Stade Olympique de la Pontaise, Lausanne",1954 FIFA World Cup Group 1
1954,group,1954-06-17,ENG,BEL,4,4,14000,Emil Schmetzer,West Germany,"St. Jakob Stadium, Basel",1954 FIFA World Cup Group 4
1954,group,1954-06-17,FRG,TUR,4,1,28000,Jose da Costa Vieira,Portugal,"Wankdorf Stadium, Bern",1954 FIFA World Cup Group 2
1954,group,1954-06-17,HUN,KOR,9,0,13000,Raymond Vincenti,France,"Hardturm Stadium, Zürich",1954 FIFA World Cup Group 2
1954,group,1954-06-17,SUI,ITA,2,1,43000,Mário Vianna,Brazil,"Stade Olympique de la Pontaise, Lausanne",1954 FIFA World Cup Group 4
1954,group,1954-06-19,AUT,TCH,5,0,26000,Vasa Stefanovic,Yugoslavia,"Hardturm Stadium, Zürich",1954 FIFA World Cup Group 3
1954,group,1954-06-19,BRA,YUG,1,1,24637,Charlie Faultless,Scotland,"Stade Olympique de la Pontaise, Lausanne",1954 FIFA World Cup Group 1
1954,group,1954-06-19,FRA,MEX,3,2,19000,Manuel Asensi,Spain,"Charmilles Stadium, Geneva",1954 FIFA World Cup Group 1
1954,group,1954-06-19,URU,SCO,7,0,34000,Vincenzo Orlandini,Italy,"St. Jakob Stadium, Basel",1954 FIFA World Cup Group 3
1954,group,1954-06-20,ENG,SUI,2,0,43500,Istvan Zsolt,Hungary,"Wankdorf Stadium, Bern",1954 FIFA World Cup Group 4
1954,group,1954-06-20,HUN,FRG,8,3,56000,William Ling,England,"St. Jakob Stadium, Basel",1954 FIFA World Cup Group 2
1954,group,1954-06-20,ITA,BEL,4,1,24000,Carl Erich Steiner,Austria,"Cornaredo Stadium, Lugano",1954 FIFA World Cup Group 4
1954,group,1954-06-20,TUR,KOR,7,0,4000,Esteban Marino,Uruguay,"Charmilles Stadium, Geneva",1954 FIFA World Cup Group 2
1954,group,1954-06-23,FRG,TUR,7,2,17000,Raymond Vincenti,France,"Hardturm Stadium, Zürich",1954 FIFA World Cup Group 2
1954,group,1954-06-23,SUI,ITA,4,1,30000,Benjamin Griffiths,Wales,"St. Jakob Stadium, Basel",1954 FIFA World Cup Group 4
1954,quarter-final,1954-06-26,AUT,SUI,7,5,35000,Charlie Faultless,Scotland,"Stade Olympique de la Pontaise, Lausanne",Austria v Switzerland (1954 FIFA World Cup)
1954,quarter-final,1954-06-26,URU,ENG,4,2,28000,Carl Erich Steiner,Austria,"St. Jakob Stadium, Basel",1954 FIFA World Cup knockout stage
1954,quarter-final,1954-06-27,FRG,YUG,2,0,17000,Istvan Zsolt,Hungary,"Charmilles Stadium, Geneva",1954 FIFA World Cup knockout stage
1954,quarter-final,1954-06-27,HUN,BRA,4,2,40000,Arthur Ellis,England,"Wankdorf Stadium, Bern",Battle of Berne (1954 FIFA World Cup)
1954,semi-final,1954-06-30,FRG,AUT,6,1,58000,Vincenzo Orlandini,Italy,"St. Jakob Stadium, Basel",1954 FIFA World Cup knockout stage
1954,semi-final,1954-06-30,HUN,URU,4,2,45000,Benjamin Griffiths,Wales,"Stade Olympique de la Pontaise, Lausanne",1954 FIFA World Cup knockout stage
1954,third-place,1954-07-03,AUT,URU,3,1,32000,Raymon Wyssling,Switzerland,"Hardturm Stadium, Zürich",1954 FIFA World Cup knockout stage
1954,final,1954-07-04,FRG,HUN,3,2,62500,William Ling,England,"Wankdorf Stadium, Bern",1954 FIFA World Cup final
1958,group,1958-06-08,ARG,FRG,1,3,31156,Reginald Leafe,England,"Malmö Stadion, Malmö",1958 FIFA World Cup Group 1
1958,group,1958-06-08,BRA,AUT,3,0,17788,Maurice Guigue,France,"Rimnersvallen, Uddevalla",1958 FIFA World Cup Group 4
1958,group,1958-06-08,FRA,PAR,7,3,16518,Juan Gardeazábal Garay,Spain,"Idrottsparken, Norrköping",1958 FIFA World Cup Group 2
1958,group,1958-06-08,HUN,WAL,1,1,15343,José María Codesal,Uruguay,"Jernvallen, Sandviken",1958 FIFA World Cup Group 3
1958,group,1958-06-08,NIR,TCH,1,0,10647,Fritz Seipelt,Austria,"Örjans Vall, Halmstad",1958 FIFA World Cup Group 1
1958,group,1958-06-08,SWE,MEX,3,0,34107,Nikolay Latyshev,Soviet Union,"Råsunda Stadium, Solna",1958 FIFA World Cup Group 3
1958,group,1958-06-08,URS,ENG,2,2,49348,István Zsolt,Hungary,"Ullevi, Gothenburg",1958 FIFA World Cup Group 4
1958,group,1958-06-08,YUG,SCO,1,1,9591,Raymond Wyssling,Switzerland,"Arosvallen, Västerås",1958 FIFA World Cup Group 2
1958,group,1958-06-11,ARG,NIR,3,1,14174,Sten Ahlner,Sweden,"Örjans Vall, Halmstad",1958 FIFA World Cup Group 1
1958,group,1958-06-11,BRA,ENG,0,0,40895,Albert Dusch,West Germany,"Ullevi, Gothenburg",1958 FIFA World Cup Group 4
1958,group,1958-06-11,FRG,TCH,2,2,25000,Arthur Edward Ellis,England,"Olympiastadion, Helsingborg",1958 FIFA World Cup Group 1
1958,group,1958-06-11,MEX,WAL,1,1,15150,Leo Lemesic,Yugoslavia,"Råsunda Stadium, Solna",1958 FIFA World Cup Group 3
1958,group,1958-06-11,PAR,SCO,3,2,11665,Vincenzo Orlandini,Italy,"Idrottsparken, Norrköping",1958 FIFA World Cup Group 2
1958,group,1958-06-11,URS,AUT,2,0,21239,Carl Jørgensen,Denmark,"Ryavallen, Borås",1958 FIFA World Cup Group 4
1958,group,1958-06-11,YUG,FRA,3,2,12217,Benjamin Griffiths,Wales,"Arosvallen, Västerås",1958 FIFA World Cup Group 2
1958,group,1958-06-12,SWE,HUN,2,1,38850,Jack Mowat,Scotland,"Råsunda Stadium, Solna",1958 FIFA World Cup Group 3
1958,group,1958-06-15,BRA,URS,2,0,50928,Maurice Guigue,France,"Ullevi, Gothenburg",1958 FIFA World Cup Group 4
1958,group,1958-06-15,ENG,AUT,2,2,15872,Jan Bronkhorst,Netherlands,"Ryavallen, Borås",1958 FIFA World Cup Group 4
1958,group,1958-06-15,FRA,SCO,2,1,13554,Juan Regis Brozzi,Argentina,"Eyravallen, Örebro",1958 FIFA World Cup Group 2
1958,group,1958-06-15,FRG,NIR,2,2,21990,Joaquim Campos,Portugal,"Malmö Stadion, Malmö",1958 FIFA World Cup Group 1
1958,group,1958-06-15,HUN,MEX,4,0,13300,Arne Eriksson,Finland,"Jernvallen, Sandviken",1958 FIFA World Cup Group 3
1958,group,1958-06-15,PAR,YUG,3,3,13103,Martin Macko,Czechoslovakia,"Tunavallen, Eskilstuna",1958 FIFA World Cup Group 2
1958,group,1958-06-15,SWE,WAL,0,0,30287,Lucien van Nuffel,Belgium,"Råsunda Stadium, Solna",1958 FIFA World Cup Group 3
1958,group,1958-06-15,TCH,ARG,6,1,16418,Arthur Edward Ellis,England,"Olympiastadion, Helsingborg",Disaster of Sweden
1958,group,1958-06-17,NIR,TCH,2,1,6196,Maurice Guigue,France,"Malmö Stadion, Malmö",1958 FIFA World Cup Group 1
1958,group,1958-06-17,URS,ENG,1,0,23182,Albert Dusch,West Germany,"Ullevi, Gothenburg",1958 FIFA World Cup Group 4
1958,group,1958-06-17,WAL,HUN,2,1,2823,Nikolay Latyshev,Soviet Union,"Råsunda Stadium, Solna",1958 FIFA World Cup Group 3
1958,quarter-final,1958-06-19,BRA,WAL,1,0,25923,Fritz Seipelt,Austria,"Ullevi, Gothenburg",1958 FIFA World Cup knockout stage
1958,quarter-final,1958-06-19,FRA,NIR,4,0,11800,Juan Gardeazábal Garay,Spain,"Idrottsparken, Norrköping",1958 FIFA World Cup knockout stage
1958,quarter-final,1958-06-19,FRG,YUG,1,0,20055,Raymond Wyssling,Switzerland,"Malmö Stadion, Malmö",1958 FIFA World Cup knockout stage
1958,quarter-final,1958-06-19,SWE,URS,2,0,31900,Reginald Leafe,England,"Råsunda Stadium, Solna",1958 FIFA World Cup knockout stage
1958,semi-final,1958-06-24,BRA,FRA,5,2,27100,Benjamin Griffiths,Wales,"Råsunda Stadium, Solna",1958 FIFA World Cup knockout stage
1958,semi-final,1958-06-24,SWE,FRG,3,1,49471,István Zsolt,Hungary,"Ullevi, Gothenburg",1958 FIFA World Cup knockout stage
1958,third-place,1958-06-28,FRA,FRG,6,3,32483,Juan Regis Brozzi,Argentina,"Ullevi, Gothenburg",1958 FIFA World Cup knockout stage
1958,final,1958-06-29,BRA,SWE,5,2,49737,Maurice Guigue,France,"Råsunda Stadium, Solna",1958 FIFA World Cup final
1962,group,1962-05-30,ARG,BUL,1,0,7134,Juan Gardeazábal Garay,Spain,"Estadio El Teniente, Rancagua",1962 FIFA World Cup Group 4
1962,group,1962-05-30,BRA,MEX,2,0,10484,Gottfried Dienst,Switzerland,"Estadio Sausalito, Viña del Mar",1962 FIFA World Cup Group 3
1962,group,1962-05-30,CHI,SUI,3,1,65006,Kenneth Aston,England,"Estadio Nacional, Santiago",1962 FIFA World Cup Group 2
1962,group,1962-05-30,URU,COL,2,1,7908,Andor Dorogi,Hungary,"Estadio Carlos Dittborn, Arica",1962 FIFA World Cup Group 1
1962,group,1962-05-31,FRG,ITA,0,0,65440,Robert Holley Davidson,Scotland,"Estadio Nacional, Santiago",1962 FIFA World Cup Group 2
1962,group,1962-05-31,HUN,ENG,2,1,7938,Leo Horn,Netherlands,"Estadio El Teniente, Rancagua",1962 FIFA World Cup Group 4
1962,group,1962-05-31,TCH,ESP,1,0,12700,Carl Erich Steiner,Austria,"Estadio Sausalito, Viña del Mar",1962 FIFA World Cup Group 3
1962,group,1962-05-31,URS,YUG,2,0,9622,Albert Dusch,West Germany,"Estadio Carlos Dittborn, Arica",1962 FIFA World Cup Group 1
1962,group,1962-06-02,BRA,TCH,0,0,14903,Pierre Schwinte,France,"Estadio Sausalito, Viña del Mar",1962 FIFA World Cup Group 3
1962,group,1962-06-02,CHI,ITA,2,0,66057,Kenneth Aston,England,"Estadio Nacional, Santiago",Battle of Santiago (1962 FIFA World Cup)
1962,group,1962-06-02,ENG,ARG,3,1,9794,Nikolay Latyshev,Soviet Union,"Estadio El Teniente, Rancagua",1962 FIFA World Cup Group 4
1962,group,1962-06-02,YUG,URU,3,1,8829,Karol Galba,Czechoslovakia,"Estadio Carlos Dittborn, Arica",1962 FIFA World Cup Group 1
1962,group,1962-06-03,ESP,MEX,1,0,11875,Branko Tesanić,Yugoslavia,"Estadio Sausalito, Viña del Mar",1962 FIFA World Cup Group 3
1962,group,1962-06-03,FRG,SUI,2,1,64922,Leo Horn,Netherlands,"Estadio Nacional, Santiago",1962 FIFA World Cup Group 2
1962,group,1962-06-03,HUN,BUL,6,1,7442,Juan Gardeazábal Garay,Spain,"Estadio El Teniente, Rancagua",1962 FIFA World Cup Group 4
1962,group,1962-06-03,URS,COL,4,4,8040,João Etzel Filho,Brazil,"Estadio Carlos Dittborn, Arica",1962 FIFA World Cup Group 1
1962,group,1962-06-06,BRA,ESP,2,1,18715,Sergio Bustamante,Chile,"Estadio Sausalito, Viña del Mar",1962 FIFA World Cup Group 3
1962,group,1962-06-06,FRG,CHI,2,0,67224,Robert Holley Davidson,Scotland,"Estadio Nacional, Santiago",1962 FIFA World Cup Group 2
1962,group,1962-06-06,HUN,ARG,0,0,7945,Arturo Yamasaki Maldonado,Peru,"Estadio El Teniente, Rancagua",1962 FIFA World Cup Group 4
1962,group,1962-06-06,URS,URU,2,1,9973,Cesare Jonni,Italy,"Estadio Carlos Dittborn, Arica",1962 FIFA World Cup Group 1
1962,group,1962-06-07,ENG,BUL,0,0,5700,Antoine Blavier,Belgium,"Estadio El Teniente, Rancagua",1962 FIFA World Cup Group 4
1962,group,1962-06-07,ITA,SUI,3,0,59828,Nikolay Latyshev,Soviet Union,"Estadio Nacional, Santiago",1962 FIFA World Cup Group 2
1962,group,1962-06-07,MEX,TCH,3,1,10648,Gottfried Dienst,Switzerland,"Estadio Sausalito, Viña del Mar",1962 FIFA World Cup Group 3
1962,group,1962-06-07,YUG,COL,5,0,7167,Carlos Robles,Chile,"Estadio Carlos Dittborn, Arica",1962 FIFA World Cup Group 1
1962,quarter-final,1962-06-10,BRA,ENG,3,1,17736,Pierre Schwinte,France,"Estadio Sausalito, Viña del Mar",1962 FIFA World Cup knockout stage
1962,quarter-final,1962-06-10,CHI,URS,2,1,17268,Leo Horn,Netherlands,"Estadio Carlos Dittborn, Arica",1962 FIFA World Cup knockout stage
1962,quarter-final,1962-06-10,TCH,HUN,1,0,11690,Nikolay Latyshev,Soviet Union,"Estadio El Teniente, Rancagua",1962 FIFA World Cup knockout stage
1962,quarter-final,1962-06-10,YUG,FRG,1,0,63324,Arturo Yamasaki Maldonado,Peru,"Estadio Nacional, Santiago",1962 FIFA World Cup knockout stage
1962,semi-final,1962-06-13,BRA,CHI,4,2,76594,Arturo Yamasaki Maldonado,Peru,"Estadio Nacional, Santiago",1962 FIFA World Cup knockout stage
1962,semi-final,1962-06-13,TCH,YUG,3,1,5890,Gottfried Dienst,Switzerland,"Estadio Sausalito, Viña del Mar",1962 FIFA World Cup knockout stage
1962,third-place,1962-06-16,CHI,YUG,1,0,66697,Juan Gardeazábal Garay,Spain,"Estadio Nacional, Santiago",1962 FIFA World Cup knockout stage
1962,final,1962-06-17,BRA,TCH,3,1,68679,Nikolay Latyshev,Soviet Union,"Estadio Nacional, Santiago",1962 FIFA World Cup final
1966,group,1966-07-11,ENG,URU,0,0,87148,Istvan Zsolt,Hungary,"Wembley Stadium, London",1966 FIFA World Cup Group 1
1966,group,1966-07-12,BRA,BUL,2,0,47308,Kurt Tschenscher,West Germany,"Goodison Park, Liverpool",1966 FIFA World Cup Group 3
1966,group,1966-07-12,FRG,SUI,5,0,36127,Hugh Phillips,Scotland,"Hillsborough Stadium, Sheffield",1966 FIFA World Cup Group 2
1966,group,1966-07-12,URS,PRK,3,0,23006,Juan Gardeazábal Garay,Spain,"Ayresome Park, Middlesbrough",1966 FIFA World Cup Group 4
1966,group,1966-07-13,ARG,ESP,2,1,42738,Dimitar Rumenchev,Bulgaria,"Villa Park, Birmingham",1966 FIFA World Cup Group 2
1966,group,1966-07-13,FRA,MEX,1,1,69237,Menachem Ashkenazi,Israel,"Wembley Stadium, London",1966 FIFA World Cup Group 1
1966,group,1966-07-13,ITA,CHI,2,0,27199,Gottfried Dienst,Switzerland,"Roker Park, Sunderland",1966 FIFA World Cup Group 4
1966,group,1966-07-13,POR,HUN,3,1,29886,Leo Callaghan,Wales,"Old Trafford, Manchester",1966 FIFA World Cup Group 3
1966,group,1966-07-15,CHI,PRK,1,1,13792,Ali Kandil,United Arab Republic,"Ayresome Park, Middlesbrough",1966 FIFA World Cup Group 4
1966,group,1966-07-15,ESP,SUI,2,1,32028,Tofiq Bahramov,Soviet Union,"Hillsborough Stadium, Sheffield",1966 FIFA World Cup Group 2
1966,group,1966-07-15,HUN,BRA,3,1,51387,Ken Dagnall,England,"Goodison Park, Liverpool",1966 FIFA World Cup Group 3
1966,group,1966-07-15,URU,FRA,2,1,45662,Karol Galba,Czechoslovakia,"White City Stadium, London",1966 FIFA World Cup Group 1
1966,group,1966-07-16,ARG,FRG,0,0,46587,Konstantin Zečević,Yugoslavia,"Villa Park, Birmingham",1966 FIFA World Cup Group 2
1966,group,1966-07-16,ENG,MEX,2,0,92570,Concetto Lo Bello,Italy,"Wembley Stadium, London",1966 FIFA World Cup Group 1
1966,group,1966-07-16,POR,BUL,3,0,25438,José María Codensal,Uruguay,"Old Trafford, Manchester",1966 FIFA World Cup Group 3
1966,group,1966-07-16,URS,ITA,1,0,27793,Rudolf Kreitlein,West Germany,"Roker Park, Sunderland",1966 FIFA World Cup Group 4
1966,group,1966-07-19,ARG,SUI,2,0,32127,Joaquim Campos,Portugal,"Hillsborough Stadium, Sheffield",1966 FIFA World Cup Group 2
1966,group,1966-07-19,MEX,URU,0,0,61112,Bertil Lööw,Sweden,"Wembley Stadium, London",1966 FIFA World Cup Group 1
1966,group,1966-07-19,POR,BRA,3,1,58479,George McCabe,England,"Goodison Park, Liverpool",1966 FIFA World Cup Group 3
1966,group,1966-07-19,PRK,ITA,1,0,17829,Pierre Schwinte,France,"Ayresome Park, Middlesbrough",1966 FIFA World Cup Group 4
1966,group,1966-07-20,ENG,FRA,2,0,98270,Arturo Yamasaki,Peru,"Wembley Stadium, London",1966 FIFA World Cup Group 1
1966,group,1966-07-20,FRG,ESP,2,1,42187,Armando Marques,Brazil,"Villa Park, Birmingham",1966 FIFA World Cup Group 2
1966,group,1966-07-20,HUN,BUL,3,1,24129,Roberto Goicoechea,Argentina,"Old Trafford, Manchester",1966 FIFA World Cup Group 3
1966,group,1966-07-20,URS,CHI,2,1,16027,John Adair,Northern Ireland,"Roker Park, Sunderland",1966 FIFA World Cup Group 4
1966,quarter-final,1966-07-23,ENG,ARG,1,0,90584,Rudolf Kreitlein,West Germany,"Wembley Stadium, London",1966 FIFA World Cup knockout stage
1966,quarter-final,1966-07-23,FRG,URU,4,0,40007,Jim Finney,England,"Hillsborough Stadium, Sheffield",1966 FIFA World Cup knockout stage
1966,quarter-final,1966-07-23,POR,PRK,5,3,40248,Menachem Ashkenazi,Israel,"Goodison Park, Liverpool",1966 FIFA World Cup knockout stage
1966,quarter-final,1966-07-23,URS,HUN,2,1,26844,Juan Gardeazábal Garay,Spain,"Roker Park, Sunderland",1966 FIFA World Cup knockout stage
1966,semi-final,1966-07-25,FRG,URS,2,1,38273,Concetto Lo Bello,Italy,"Goodison Park, Liverpool",1966 FIFA World Cup knockout stage
1966,semi-final,1966-07-26,ENG,POR,2,1,94493,Pierre Schwinte,France,"Wembley Stadium, London",1966 FIFA World Cup knockout stage
1966,third-place,1966-07-28,POR,URS,2,1,87696,Ken Dagnall,England,"Wembley Stadium, London",1966 FIFA World Cup knockout stage
1966,final,1966-07-30,ENG,FRG,4,2,96924,Gottfried Dienst,Switzerland,"Wembley Stadium, London",1966 FIFA World Cup final
1970,group,1970-05-31,MEX,URS,0,0,107160,Kurt Tschenscher,West Germany,"Estadio Azteca, Mexico City",1970 FIFA World Cup Group 1
1970,group,1970-06-02,ENG,ROU,1,0,50560,Vital Loraux,Belgium,"Estadio Jalisco, Guadalajara",1970 FIFA World Cup Group 3
1970,group,1970-06-02,PER,BUL,3,2,13765,Antonio Sbardella,Italy,"Estadio Nou Camp, León",1970 FIFA World Cup Group 4
1970,group,1970-06-02,URU,ISR,2,0,20654,Bobby Davidson,Scotland,"Estadio Cuauhtémoc, Puebla",1970 FIFA World Cup Group 2
1970,group,1970-06-03,BEL,SLV,3,0,92205,Andrei Rădulescu,Romania,"Estadio Azteca, Mexico City",1970 FIFA World Cup Group 1
1970,group,1970-06-03,BRA,TCH,4,1,52897,Ramón Barreto,Uruguay,"Estadio Jalisco, Guadalajara",1970 FIFA World Cup Group 3
