year,stage,date,team1_code,team2_code,score1,score2,attendance,referee,referee_nation,stadium,source_page
2022,round-of-16,2022-12-03,NED,USA,3,1,44846,Wilton Sampaio,Brazil,"Khalifa International Stadium, Al Rayyan",2022 FIFA World Cup knockout stage
2022,round-of-16,2022-12-04,ENG,SEN,3,0,65985,Iván Barton,El Salvador,"Al Bayt Stadium, Al Khor",2022 FIFA World Cup knockout stage
2022,round-of-16,2022-12-04,FRA,POL,3,1,40989,Jesús Valenzuela,Venezuela,"Al Thumama Stadium, Doha",2022 FIFA World Cup knockout stage
2022,round-of-16,2022-12-05,BRA,KOR,4,1,43847,Clément Turpin,France,"Stadium 974, Doha",2022 FIFA World Cup knockout stage
2022,round-of-16,2022-12-05,JPN,CRO,1,1,42523,Ismail Elfath,United States,"Al Janoub Stadium, Al Wakrah",2022 FIFA World Cup knockout stage
2022,round-of-16,2022-12-06,MAR,ESP,0,0,44667,Fernando Rapallini,Argentina,"Education City Stadium, Al Rayyan",2022 FIFA World Cup knockout stage
2022,round-of-16,2022-12-06,POR,SUI,6,1,83720,César Arturo Ramos,Mexico,"Lusail Stadium, Lusail",2022 FIFA World Cup knockout stage
2022,quarter-final,2022-12-09,CRO,BRA,1,1,43893,Michael Oliver,England,"Education City Stadium, Al Rayyan",2022 FIFA World Cup knockout stage
2022,quarter-final,2022-12-09,NED,ARG,2,2,88235,Antonio Mateu Lahoz,Spain,"Lusail Stadium, Lusail",Battle of Lusail
2022,quarter-final,2022-12-10,ENG,FRA,1,2,68895,Wilton Sampaio,Brazil,"Al Bayt Stadium, Al Khor",2022 FIFA World Cup knockout stage
2022,quarter-final,2022-12-10,MAR,POR,1,0,44198,Facundo Tello,Argentina,"Al Thumama Stadium, Doha",2022 FIFA World Cup knockout stage
2022,semi-final,2022-12-13,ARG,CRO,3,0,88966,Daniele Orsato,Italy,"Lusail Stadium, Lusail",2022 FIFA World Cup knockout stage
2022,semi-final,2022-12-14,FRA,MAR,2,0,68294,César Arturo Ramos,Mexico,"Al Bayt Stadium, Al Khor",2022 FIFA World Cup knockout stage
2022,third-place,2022-12-17,CRO,MAR,2,1,44137,Abdulrahman Al-Jassim,Qatar,"Khalifa International Stadium, Al Rayyan",2022 FIFA World Cup knockout stage
2022,final,2022-12-18,ARG,FRA,3,3,88966,Szymon Marciniak,Poland,"Lusail Stadium, Lusail",2022 FIFA World Cup final
2026,group,2026-06-11,KOR,CZE,2,1,44985,Amin Omar,Egypt,"Estadio Akron, Zapopan",2026 FIFA World Cup Group A
2026,group,2026-06-11,MEX,RSA,2,0,80824,Wilton Sampaio,Brazil,"Estadio Azteca, Mexico City",2026 FIFA World Cup Group A
2026,group,2026-06-12,CAN,BIH,1,1,43002,Facundo Tello,Argentina,"BMO Field, Toronto",2026 FIFA World Cup Group B
2026,group,2026-06-12,USA,PAR,4,1,70492,Danny Makkelie,Netherlands,"SoFi Stadium, Inglewood",2026 FIFA World Cup Group D
2026,group,2026-06-13,AUS,TUR,2,0,52497,Jesús Valenzuela,Venezuela,"BC Place, Vancouver",2026 FIFA World Cup Group D
2026,group,2026-06-13,BRA,MAR,1,1,80663,Slavko Vinčić,Slovenia,"MetLife Stadium, East Rutherford",2026 FIFA World Cup Group C
2026,group,2026-06-13,HAI,SCO,0,1,64146,Mustapha Ghorbal,Algeria,"Gillette Stadium, Foxborough",2026 FIFA World Cup Group C
2026,group,2026-06-13,QAT,SUI,1,1,67966,Saíd Martínez,Honduras,"Levi's Stadium, Santa Clara",2026 FIFA World Cup Group B
2026,group,2026-06-14,CIV,ECU,1,0,68274,François Letexier,France,"Lincoln Financial Field, Philadelphia",2026 FIFA World Cup Group E
2026,group,2026-06-14,GER,CUW,7,1,68021,Jalal Jayed,Morocco,"NRG Stadium, Houston",2026 FIFA World Cup Group E
2026,group,2026-06-14,NED,JPN,2,2,69285,Ismail Elfath,United States,"AT&T Stadium, Arlington",2026 FIFA World Cup Group F
2026,group,2026-06-14,SWE,TUN,5,1,50987,Yael Falcón,Argentina,"Estadio BBVA, Guadalupe",2026 FIFA World Cup Group F
2026,group,2026-06-15,BEL,EGY,1,1,66775,Ramon Abatti,Brazil,"Lumen Field, Seattle",2026 FIFA World Cup Group G
2026,group,2026-06-15,ESP,CPV,0,0,67640,Adham Makhadmeh,Jordan,"Mercedes-Benz Stadium, Atlanta",2026 FIFA World Cup Group H
2026,group,2026-06-15,IRN,NZL,2,2,70108,César Arturo Ramos,Mexico,"SoFi Stadium, Inglewood",2026 FIFA World Cup Group G
2026,group,2026-06-15,KSA,URU,1,1,62764,Maurizio Mariani,Italy,"Hard Rock Stadium, Miami Gardens",2026 FIFA World Cup Group H
2026,group,2026-06-16,ARG,ALG,3,0,69045,Szymon Marciniak,Poland,"Arrowhead Stadium, Kansas City",2026 FIFA World Cup Group J
2026,group,2026-06-16,AUT,JOR,3,1,68527,Dahane Beida,Mauritania,"Levi's Stadium, Santa Clara",2026 FIFA World Cup Group J
2026,group,2026-06-16,FRA,SEN,3,1,80545,Alireza Faghani,Australia,"MetLife Stadium, East Rutherford",2026 FIFA World Cup Group I
2026,group,2026-06-16,IRQ,NOR,1,4,63106,Pierre Atcho,Gabon,"Gillette Stadium, Foxborough",2026 FIFA World Cup Group I
2026,group,2026-06-17,ENG,CRO,4,2,70389,Clément Turpin,France,"AT&T Stadium, Arlington",2026 FIFA World Cup Group L
2026,group,2026-06-17,GHA,PAN,1,0,42942,Glenn Nyberg,Sweden,"BMO Field, Toronto",2026 FIFA World Cup Group L
2026,group,2026-06-17,POR,COD,1,1,68777,Abdulrahman Al-Jassim,Qatar,"NRG Stadium, Houston",2026 FIFA World Cup Group K
2026,group,2026-06-17,UZB,COL,1,3,80824,Anthony Taylor,England,"Estadio Azteca, Mexico City",2026 FIFA World Cup Group K
2026,group,2026-06-18,CAN,QAT,6,0,52497,Cristián Garay,Chile,"BC Place, Vancouver",2026 FIFA World Cup Group B
2026,group,2026-06-18,CZE,RSA,1,1,67442,Tori Penso,United States,"Mercedes-Benz Stadium, Atlanta",2026 FIFA World Cup Group A
2026,group,2026-06-18,MEX,KOR,1,0,45522,Gustavo Tejera,Uruguay,"Estadio Akron, Zapopan",2026 FIFA World Cup Group A
2026,group,2026-06-18,SUI,BIH,4,1,70026,João Pinheiro,Portugal,"SoFi Stadium, Inglewood",2026 FIFA World Cup Group B
2026,group,2026-06-19,BRA,HAI,3,0,68324,Alejandro Hernández Hernández,Spain,"Lincoln Financial Field, Philadelphia",2026 FIFA World Cup Group C
2026,group,2026-06-19,SCO,MAR,0,1,64146,Ilgiz Tantashev,Uzbekistan,"Gillette Stadium, Foxborough",2026 FIFA World Cup Group C
2026,group,2026-06-19,TUR,PAR,0,1,68827,Iván Barton,El Salvador,"Levi's Stadium, Santa Clara",2026 FIFA World Cup Group D
2026,group,2026-06-19,USA,AUS,2,0,66925,Felix Zwayer,Germany,"Lumen Field, Seattle",2026 FIFA World Cup Group D
2026,group,2026-06-20,ECU,CUW,0,0,68598,Ma Ning,China,"Arrowhead Stadium, Kansas City",2026 FIFA World Cup Group E
2026,group,2026-06-20,GER,CIV,2,1,43036,Juan Gabriel Benítez,Paraguay,"BMO Field, Toronto",2026 FIFA World Cup Group E
2026,group,2026-06-20,NED,SWE,5,1,68777,Michael Oliver,England,"NRG Stadium, Houston",2026 FIFA World Cup Group F
2026,group,2026-06-20,TUN,JPN,0,4,51243,István Kovács,Romania,"Estadio BBVA, Guadalupe",2026 FIFA World Cup Group F
2026,group,2026-06-21,BEL,IRN,0,0,70317,Darío Herrera,Argentina,"SoFi Stadium, Inglewood",2026 FIFA World Cup Group G
2026,group,2026-06-21,ESP,KSA,4,0,68239,Raphael Claus,Brazil,"Mercedes-Benz Stadium, Atlanta",2026 FIFA World Cup Group H
2026,group,2026-06-21,NZL,EGY,1,3,52497,Omar Al Ali,United Arab Emirates,"BC Place, Vancouver",2026 FIFA World Cup Group G
2026,group,2026-06-21,URU,CPV,2,2,64003,Espen Eskås,Norway,"Hard Rock Stadium, Miami Gardens",2026 FIFA World Cup Group H
2026,group,2026-06-22,ARG,AUT,2,0,70649,Amin Omar,Egypt,"AT&T Stadium, Arlington",2026 FIFA World Cup Group J
2026,group,2026-06-22,FRA,IRQ,3,0,68324,Drew Fischer,Canada,"Lincoln Financial Field, Philadelphia",2026 FIFA World Cup Group I
2026,group,2026-06-22,JOR,ALG,1,2,68371,Slavko Vinčić,Slovenia,"Levi's Stadium, Santa Clara",2026 FIFA World Cup Group J
2026,group,2026-06-22,NOR,SEN,3,2,80663,Wilton Sampaio,Brazil,"MetLife Stadium, East Rutherford",2026 FIFA World Cup Group I
2026,group,2026-06-23,COL,COD,1,0,45358,Maurizio Mariani,Italy,"Estadio Akron, Zapopan",2026 FIFA World Cup Group K
2026,group,2026-06-23,ENG,GHA,0,0,63983,Saíd Martínez,Honduras,"Gillette Stadium, Foxborough",2026 FIFA World Cup Group L
2026,group,2026-06-23,PAN,CRO,0,1,43036,Pierre Atcho,Gabon,"BMO Field, Toronto",2026 FIFA World Cup Group L
2026,group,2026-06-23,POR,UZB,5,0,68777,Jalal Jayed,Morocco,"NRG Stadium, Houston",2026 FIFA World Cup Group K
2026,group,2026-06-24,BIH,QAT,3,1,66925,Jesús Valenzuela,Venezuela,"Lumen Field, Seattle",2026 FIFA World Cup Group B
2026,group,2026-06-24,CZE,MEX,0,3,80824,Yael Falcón,Argentina,"Estadio Azteca, Mexico City",2026 FIFA World Cup Group A
2026,group,2026-06-24,MAR,HAI,4,2,68239,Danny Makkelie,Netherlands,"Mercedes-Benz Stadium, Atlanta",2026 FIFA World Cup Group C
2026,group,2026-06-24,RSA,KOR,1,0,51243,Facundo Tello,Argentina,"Estadio BBVA, Guadalupe",2026 FIFA World Cup Group A
2026,group,2026-06-24,SCO,BRA,0,3,64478,César Arturo Ramos,Mexico,"Hard Rock Stadium, Miami Gardens",2026 FIFA World Cup Group C
2026,group,2026-06-24,SUI,CAN,2,1,52497,Ramon Abatti,Brazil,"BC Place, Vancouver",2026 FIFA World Cup Group B
2026,group,2026-06-25,CUW,CIV,0,2,68324,Glenn Nyberg,Sweden,"Lincoln Financial Field, Philadelphia",2026 FIFA World Cup Group E
2026,group,2026-06-25,ECU,GER,2,1,80663,Tori Penso,United States,"MetLife Stadium, East Rutherford",2026 FIFA World Cup Group E
2026,group,2026-06-25,JPN,SWE,1,1,70137,Iván Barton,El Salvador,"AT&T Stadium, Arlington",2026 FIFA World Cup Group F
2026,group,2026-06-25,PAR,AUS,0,0,68827,Clément Turpin,France,"Levi's Stadium, Santa Clara",2026 FIFA World Cup Group D
2026,group,2026-06-25,TUN,NED,1,3,68391,Katia Itzel García,Mexico,"Arrowhead Stadium, Kansas City",2026 FIFA World Cup Group F
2026,group,2026-06-25,TUR,USA,3,2,70492,Mustapha Ghorbal,Algeria,"SoFi Stadium, Inglewood",2026 FIFA World Cup Group D
2026,group,2026-06-26,CPV,KSA,0,0,68278,François Letexier,France,"NRG Stadium, Houston",2026 FIFA World Cup Group H
2026,group,2026-06-26,EGY,IRN,1,1,66925,Szymon Marciniak,Poland,"Lumen Field, Seattle",2026 FIFA World Cup Group G
2026,group,2026-06-26,NOR,FRA,1,4,64146,Michael Oliver,England,"Gillette Stadium, Foxborough",2026 FIFA World Cup Group I
2026,group,2026-06-26,NZL,BEL,1,5,52497,Adham Makhadmeh,Jordan,"BC Place, Vancouver",2026 FIFA World Cup Group G
2026,group,2026-06-26,SEN,IRQ,5,0,43036,Anthony Taylor,England,"BMO Field, Toronto",2026 FIFA World Cup Group I
2026,group,2026-06-26,URU,ESP,0,1,45065,Ismail Elfath,United States,"Estadio Akron, Zapopan",2026 FIFA World Cup Group H
2026,group,2026-06-27,ALG,AUT,3,3,69045,Ilgiz Tantashev,Uzbekistan,"Arrowhead Stadium, Kansas City",2026 FIFA World Cup Group J
2026,group,2026-06-27,COD,UZB,3,1,68239,Felix Zwayer,Germany,"Mercedes-Benz Stadium, Atlanta",2026 FIFA World Cup Group K
2026,group,2026-06-27,COL,POR,0,0,64478,Alireza Faghani,Australia,"Hard Rock Stadium, Miami Gardens",2026 FIFA World Cup Group K
2026,group,2026-06-27,CRO,GHA,2,1,68324,Drew Fischer,Canada,"Lincoln Financial Field, Philadelphia",2026 FIFA World Cup Group L
2026,group,2026-06-27,JOR,ARG,1,3,70649,István Kovács,Romania,"AT&T Stadium, Arlington",2026 FIFA World Cup Group J
2026,group,2026-06-27,PAN,ENG,0,2,80663,Abdulrahman Al-Jassim,Qatar,"MetLife Stadium, East Rutherford",2026 FIFA World Cup Group L
2026,round-of-32,2026-06-28,RSA,CAN,0,1,69237,João Pinheiro,Portugal,"SoFi Stadium, Inglewood",2026 FIFA World Cup round of 32
2026,round-of-32,2026-06-29,BRA,JPN,2,1,68777,Maurizio Mariani,Italy,"NRG Stadium, Houston",2026 FIFA World Cup round of 32
2026,round-of-32,2026-06-29,GER,PAR,1,1,63945,Jalal Jayed,Morocco,"Gillette Stadium, Foxborough",2026 FIFA World Cup round of 32
2026,round-of-32,2026-06-29,NED,MAR,1,1,51243,Wilton Sampaio,Brazil,"Estadio BBVA, Guadalupe",2026 FIFA World Cup round of 32
2026,round-of-32,2026-06-30,CIV,NOR,1,2,69665,Jesús Valenzuela,Venezuela,"AT&T Stadium, Arlington",2026 FIFA World Cup round of 32
2026,round-of-32,2026-06-30,FRA,SWE,3,0,80663,Danny Makkelie,Netherlands,"MetLife Stadium, East Rutherford",2026 FIFA World Cup round of 32
2026,round-of-32,2026-06-30,MEX,ECU,2,0,80824,Slavko Vinčić,Slovenia,"Estadio Azteca, Mexico City",2026 FIFA World Cup round of 32
2026,round-of-32,2026-07-01,BEL,SEN,3,2,66925,Saíd Martínez,Honduras,"Lumen Field, Seattle",2026 FIFA World Cup round of 32
2026,round-of-32,2026-07-01,ENG,COD,2,1,68239,Adham Makhadmeh,Jordan,"Mercedes-Benz Stadium, Atlanta",2026 FIFA World Cup round of 32
2026,round-of-32,2026-07-01,USA,BIH,2,0,68827,Raphael Claus,Brazil,"Levi's Stadium, Santa Clara",2026 FIFA World Cup round of 32
2026,round-of-32,2026-07-02,ESP,AUT,3,0,70492,Glenn Nyberg,Sweden,"SoFi Stadium, Inglewood",2026 FIFA World Cup round of 32
2026,round-of-32,2026-07-02,POR,CRO,2,1,43036,Espen Eskås,Norway,"BMO Field, Toronto",2026 FIFA World Cup round of 32
2026,round-of-32,2026-07-02,SUI,ALG,2,0,52497,Yael Falcón,Argentina,"BC Place, Vancouver",2026 FIFA World Cup round of 32
2026,round-of-32,2026-07-03,ARG,CPV,3,2,64478,Drew Fischer,Canada,"Hard Rock Stadium, Miami Gardens",2026 FIFA World Cup round of 32
2026,round-of-32,2026-07-03,AUS,EGY,1,1,70244,Gustavo Tejera,Uruguay,"AT&T Stadium, Arlington",2026 FIFA World Cup round of 32
2026,round-of-32,2026-07-03,COL,GHA,1,0,69045,Clément Turpin,France,"Arrowhead Stadium, Kansas City",2026 FIFA World Cup round of 32
2026,round-of-16,2026-07-04,CAN,MAR,0,3,68777,Michael Oliver,England,"NRG Stadium, Houston",2026 FIFA World Cup knockout stage
2026,round-of-16,2026-07-04,PAR,FRA,0,1,68324,Ilgiz Tantashev,Uzbekistan,"Lincoln Financial Field, Philadelphia",2026 FIFA World Cup knockout stage
2026,round-of-16,2026-07-05,BRA,NOR,1,2,80663,Ismail Elfath,United States,"MetLife Stadium, East Rutherford",2026 FIFA World Cup knockout stage
2026,round-of-16,2026-07-05,MEX,ENG,2,3,80824,Alireza Faghani,Australia,"Estadio Azteca, Mexico City",2026 FIFA World Cup knockout stage
