match_no,stage,group,date,time_local,team1,team2,score1,score2,stadium,city
30,group,C,2026-06-19,6:00 p.m. UTC−4,SCO,MAR,0,1,Gillette Stadium,Foxborough
31,group,D,2026-06-19,8:00 p.m. UTC−7,TUR,PAR,0,1,Levi's Stadium,Santa Clara
32,group,D,2026-06-19,12:00 p.m. UTC−7,USA,AUS,2,0,Lumen Field,Seattle
33,group,E,2026-06-20,4:00 p.m. UTC−4,GER,CIV,2,1,BMO Field,Toronto
34,group,E,2026-06-20,7:00 p.m. UTC−5,ECU,CUW,0,0,Arrowhead Stadium,Kansas City
35,group,F,2026-06-20,12:00 p.m. UTC−5,NED,SWE,5,1,NRG Stadium,Houston
36,group,F,2026-06-20,10:00 p.m. UTC−6,TUN,JPN,0,4,Estadio BBVA,Guadalupe
37,group,H,2026-06-21,6:00 p.m. UTC−4,URU,CPV,2,2,Hard Rock Stadium,Miami Gardens
38,group,H,2026-06-21,12:00 p.m. UTC−4,ESP,KSA,4,0,Mercedes-Benz Stadium,Atlanta
39,group,G,2026-06-21,12:00 p.m. UTC−7,BEL,IRN,0,0,SoFi Stadium,Inglewood
40,group,G,2026-06-21,6:00 p.m. UTC−7,NZL,EGY,1,3,BC Place,Vancouver
41,group,I,2026-06-22,8:00 p.m. UTC−4,NOR,SEN,3,2,MetLife Stadium,East Rutherford
42,group,I,2026-06-22,5:00 p.m. UTC−4,FRA,IRQ,3,0,Lincoln Financial Field,Philadelphia
43,group,J,2026-06-22,12:00 p.m. UTC−5,ARG,AUT,2,0,AT&T Stadium,Arlington
44,group,J,2026-06-22,8:00 p.m. UTC−7,JOR,ALG,1,2,Levi's Stadium,Santa Clara
45,group,L,2026-06-23,4:00 p.m. UTC−4,ENG,GHA,0,0,Gillette Stadium,Foxborough
46,group,L,2026-06-23,7:00 p.m. UTC−4,PAN,CRO,0,1,BMO Field,Toronto
47,group,K,2026-06-23,12:00 p.m. UTC−5,POR,UZB,5,0,NRG Stadium,Houston
48,group,K,2026-06-23,8:00 p.m. UTC−6,COL,COD,1,0,Estadio Akron,Zapopan
49,group,C,2026-06-24,6:00 p.m. UTC−4,SCO,BRA,0,3,Hard Rock Stadium,Miami Gardens
50,group,C,2026-06-24,6:00 p.m. UTC−4,MAR,HAI,4,2,Mercedes-Benz Stadium,Atlanta
51,group,B,2026-06-24,12:00 p.m. UTC−7,SUI,CAN,2,1,BC Place,Vancouver
52,group,B,2026-06-24,12:00 p.m. UTC−7,BIH,QAT,3,1,Lumen Field,Seattle
53,group,A,2026-06-24,7:00 p.m. UTC−6,CZE,MEX,0,3,Estadio Azteca,Mexico City
54,group,A,2026-06-24,7:00 p.m. UTC−6,RSA,KOR,1,0,Estadio BBVA,Guadalupe
55,group,E,2026-06-25,4:00 p.m. UTC−4,CUW,CIV,0,2,Lincoln Financial Field,Philadelphia
56,group,E,2026-06-25,4:00 p.m. UTC−4,ECU,GER,2,1,MetLife Stadium,East Rutherford
57,group,F,2026-06-25,6:00 p.m. UTC−5,JPN,SWE,1,1,AT&T Stadium,Arlington
58,group,F,2026-06-25,6:00 p.m. UTC−5,TUN,NED,1,3,Arrowhead Stadium,Kansas City
59,group,D,2026-06-25,7:00 p.m. UTC−7,TUR,USA,3,2,SoFi Stadium,Inglewood
60,group,D,2026-06-25,7:00 p.m. UTC−7,PAR,AUS,0,0,Levi's Stadium,Santa Clara
61,group,I,2026-06-26,3:00 p.m. UTC−4,NOR,FRA,1,4,Gillette Stadium,Foxborough
62,group,I,2026-06-26,3:00 p.m. UTC−4,SEN,IRQ,5,0,BMO Field,Toronto
63,group,G,2026-06-26,8:00 p.m. UTC−7,EGY,IRN,1,1,Lumen Field,Seattle
64,group,G,2026-06-26,8:00 p.m. UTC−7,NZL,BEL,1,5,BC Place,Vancouver
65,group,H,2026-06-26,7:00 p.m. UTC−5,CPV,KSA,0,0,NRG Stadium,Houston
66,group,H,2026-06-26,6:00 p.m. UTC−6,URU,ESP,0,1,Estadio Akron,Zapopan
67,group,L,2026-06-27,5:00 p.m. UTC−4,PAN,ENG,0,2,MetLife Stadium,East Rutherford
68,group,L,2026-06-27,5:00 p.m. UTC−4,CRO,GHA,2,1,Lincoln Financial Field,Philadelphia
